STATE,DEATHS_13AUG2020,DEATHS_PER_1M_13AUG2020,TESTS_13AUG2020,CASES_13AUG2020,CASES_PER_1M_13AUG2020,FLU_DEATHS_ANNUAL,IMMUNITY,POPULATION,TESTS_PER_1M_13AUG2020,LN_TESTS_PER_1M_13AUG32020,LN_DEATHS_PER_1M_13AUG32020,LN_CASES_PER_1M_13AUG32020,POP_DENSITY,LN_POP_DENSITY,IMMUNITY_DENSITY,DATE_FIRST_CASE,DATE_FIRST_DEATH,DAYS_SINCE_FIRST_CASE,DAYS_SINCE_FIRST_DEATH,Long_term_care_facilities_with_ known_cases,Cases_long_term_care_facilities,Deaths_long_term_care_facilities,Long_term_care_facility_cases_share_total_state_cases,Long_term_care_facility_deaths_share_total_state_deaths,Status_Medicaid_Expansion_Decision,PCT_Employer,PCT_NonGroup,PCT_Medicaid,PCT_Medicare,PCT_Military,PCT_Uninsured,Number_Uninsured,TRUMP_SHARE,TRAVEL_RESTRICT,STAY_AT_HOME_DATE,GDP_PER_CAPITA,PCT_OVER65,CHINA_TRADE,LN_GDP_PER_CAPITA,DELAY_SAH_1ST_CONFIRMED,NH_TRANSFER_POLICY,TRANSFER_IMMUNITY
Georgia,4538.00,427.40,2189658.00,228668.00,21537.10,1094.00,1,10617688.35,206227.3753,12.2367346,6.057720343,9.977532308,177,5.176149733,5.176149733,3/4/2020,3/13/2020,163,154,617,"17,226","1,918",0.08,0.43,Not Adopted,0.485606,0.056954,0.174446,0.12208,0.023168,0.137747,1406800,0.51,0,4/3/2020,44723,13.9,4.5,10.71,30,0,0
Hawaii,40.00,28.30,194351.00,4312.00,3045.50,301.00,1,1413427.562,137503.3325,11.83140343,3.342861805,8.02142037,222,5.402677382,5.402677382,3/7/2020,4/1/2020,160,135,,,,,,Adopted,0.546016,0.045881,0.174571,0.146854,0.04816,0.038517,52200,0.3,1,3/25/2020,51277,18.4,0.4,10.84,18,0,0
Idaho,251.00,140.10,216473.00,26631.00,14860.50,170.00,0,1791577.445,120828.1566,11.70212462,4.942356453,9.606461965,20,2.995732274,0,3/14/2020,3/27/2020,153,140,122,1321,125,0.06,0.56,Adopted,0.47093,0.086793,0.165503,0.145958,0.019326,0.11149,191700,0.59,1,3/25/2020,35466,15.9,3.3,10.48,11,0,0
Illinois,7905.00,623.80,3235807.00,201727.00,15919.30,1771.00,1,12672330.88,255344.264,12.45036797,6.435829804,9.675287489,231,5.442417711,5.442417711,3/4/2020,3/17/2020,163,150,707,"25,452","4,162",0.13,0.53,Adopted,0.542221,0.056267,0.18986,0.134853,0.006235,0.070565,877700,0.39,0,3/21/2020,54091,15.6,4.6,10.9,17,0,0
Indiana,3105.00,461.20,1114002.00,77565.00,11521.50,827.00,0,6732437.121,165467.8655,12.01653229,6.133831788,9.351970134,184,5.214935758,0,3/6/2020,3/16/2020,161,151,459,"9,609","1,764",0.13,0.57,Adopted,0.538545,0.04669,0.176247,0.145585,0.008269,0.084664,549200,0.57,0,3/24/2020,45317,15.8,2.9,10.72,18,0,0
Iowa,964.00,305.50,540975.00,50681.00,16063.40,487.00,0,3155482.815,171439.6914,12.05198683,5.721949779,9.684298671,55,4.007333185,0,3/9/2020,3/25/2020,158,142,28,"2,355",512,0.05,0.54,Adopted,0.543551,0.054852,0.193881,0.14967,0.008617,0.049429,151100,0.51,0,,50315,17.1,1.6,10.83,157,0,0
Kansas,401.00,137.60,334563.00,32985.00,11322.20,466.00,1,2914244.186,114802.6653,11.65096998,4.924350925,9.334520679,36,3.583518938,3.583518938,3/8/2020,3/14/2020,159,153,102,"1,382",197,0.05,0.52,Not Adopted,0.546663,0.061609,0.140833,0.140903,0.022788,0.087204,245500,0.57,1,3/30/2020,46982,15.9,2.4,10.76,22,0,0
Kentucky,796.00,178.20,730362.00,37686.00,8435.30,707.00,0,4466891.134,163505.6638,12.00460291,5.182906515,9.04018056,112,4.718498871,0,3/7/2020,3/16/2020,160,151,281,"4,452",495,0.12,0.63,Adopted,0.469138,0.042121,0.264665,0.153286,0.015049,0.055742,240800,0.63,1,3/26/2020,38985,16.4,4.1,10.57,19,0,0
Louisiana,4403.00,947.10,1615980.00,135439.00,29134.20,620.00,0,4648928.307,347602.6932,12.75881542,6.853404684,10.27966802,108,4.682131227,0,3/9/2020,3/15/2020,158,152,447,"15,156","1,904",0.11,0.44,Adopted,0.424444,0.053352,0.292851,0.134502,0.015482,0.079368,358700,0.58,0,3/23/2020,43917,15.4,3.3,10.69,14,0,0
Maine,126.00,93.70,211039.00,4089.00,3041.90,207.00,0,1344717.182,156939.3198,11.96361451,4.540098189,8.020237599,43,3.761200116,0,3/12/2020,3/27/2020,155,140,21,648,78,0.16,0.62,Adopted,0.484482,0.063896,0.184382,0.172266,0.016477,0.078497,102000,0.45,1,4/2/2020,38921,20.6,1.2,10.57,21,0,0
Maryland,3620.00,598.80,1533472.00,98160.00,16236.40,754.00,0,6045424.182,253658.2966,12.44374335,6.394927653,9.695010914,618,6.426488457,0,3/6/2020,3/19/2020,161,148,124,"14,547","2,070",0.15,0.57,Adopted,0.55642,0.053524,0.185045,0.126533,0.018836,0.059643,350200,0.34,0,3/30/2020,55404,15.4,1,10.92,24,0,0
Massachusetts,8790.00,1264.80,1610399.00,122423.00,17616.10,1050.00,1,6949715.37,231721.5762,12.35329183,7.142669286,9.776568536,871,6.769641977,6.769641977,3/4/2020,3/20/2020,163,147,377,"24,552","5,621",0.2,0.64,Adopted,0.55258,0.056341,0.232192,0.126462,0.005214,0.02721,181200,0.33,0,3/24/2020,65545,16.5,1.3,11.09,20,1,1
Michigan,6555.00,656.40,2483009.00,99856.00,9998.70,1310.00,1,9986288.848,248641.8166,12.42376865,6.486770359,9.210210364,175,5.164785974,5.164785974,3/1/2020,3/19/2020,166,148,365,"11,492","2,044",0.12,0.31,Adopted,0.509564,0.051755,0.224316,0.154645,0.005832,0.053887,526500,0.48,0,3/24/2020,43372,17.2,2.7,10.68,23,1,1
Minnesota,1731.00,306.90,1203559.00,62993.00,11169.70,511.00,0,5640273.705,213386.6303,12.27086097,5.726521962,9.320960034,68,4.219507705,0,3/7/2020,3/21/2020,160,146,164,"4,006","1,263",0.06,0.73,Adopted,0.573955,0.055442,0.179237,0.140896,0.006986,0.043484,238700,0.45,0,3/27/2020,53704,15.9,3.5,10.89,20,0,0
Mississippi,2011.00,675.70,524118.00,69986.00,23515.60,525.00,1,2976172.858,176104.6905,12.07883393,6.515749191,10.06541931,63,4.143134726,4.143134726,3/12/2020,3/20/2020,155,147,203,"4,186",864,0.06,0.43,Not Adopted,0.433942,0.051769,0.234095,0.14134,0.016337,0.122517,352800,0.58,0,4/3/2020,31881,15.9,4.2,10.37,22,0,0
